city,state,slug,expedia_code,vrbo_code,source
Fairhope,AL,fairhope,LOT5TrP,Jrir8VX,codes-file
Fayetteville,AR,fayetteville,iSurfAX,32xKR9x,profile
Hot Springs,AR,hot-springs,sOgB8aQ,01PjM4R,codes-file
Flagstaff,AZ,flagstaff,9PVjgVY,RWVyxJx,codes-file
Prescott,AZ,prescott,H9UU0NZ,g8SNRrW,profile
Scottsdale,AZ,scottsdale,oeEIzcB,LPAH1US,profile
Sedona,AZ,sedona,rWqz6j4,nkThBx1,codes-file
Tucson,AZ,tucson,6m6ks7T,UhuXakc,profile
Carlsbad,CA,carlsbad,ScSdm83,yKnWZ6j,profile
Carmel-by-the-Sea,CA,carmel-by-the-sea,XWYd6FI,nlIRAzU,codes-file
Napa,CA,napa,v1hdSmv,tnVg2Gx,codes-file
Palm Springs,CA,palm-springs,UnVkVKC,2sDeO78,codes-file
Santa Barbara,CA,santa-barbara,A6hiLrq,C5ZzIlk,codes-file
Colorado Springs,CO,colorado-springs,o2n8MgV,22LnWvR,codes-file
Durango,CO,durango,rEdanQx,fVT4V0i,codes-file
Fort Collins,CO,fort-collins,yPOj569,SLc9Yla,profile
Grand Junction,CO,grand-junction,SXX6fs4,TAMisKL,codes-file
Steamboat Springs,CO,steamboat-springs,IFD6gjY,6Rf9dwP,codes-file
Vail,CO,vail,Npj3gvs,FxeWBcC,codes-file
Rehoboth Beach,DE,rehoboth-beach,YLURPSK,x6ExhZE,codes-file
Wilmington,DE,wilmington-de,eejj4o3,qPZztOj,codes-file
Delray Beach,FL,delray-beach,5e4KOfW,FtNfsXJ,profile
Fort Myers,FL,fort-myers,Poq50QB,8cG5dTP,profile
Naples,FL,naples,oepeovY,wgwjnod,profile
Pensacola,FL,pensacola,KHhS1av,WskNTZx,profile
Sarasota,FL,sarasota,WdaDmLp,ctYxMZr,profile
St. Augustine,FL,st-augustine,kFcFEUP,nQ3pbM5,profile
St. Petersburg,FL,st-petersburg,6ddz6VY,vkuhi4m,profile
Tampa,FL,tampa,Xo8UEy1,Y5KNqpg,profile
Savannah,GA,savannah,Xt9JueE,PJSJP13,profile
Des Moines,IA,des-moines,tyKQkfy,g2yE5d2,codes-file
Boise,ID,boise,TdKMYxQ,H3Tdjfk,codes-file
Coeur d’Alène,ID,coeur-dalene,hIWyyWI,DTNRneS,codes-file
Sun Valley,ID,sun-valley,ChPibWS,KdCQHS2,codes-file
Bloomington,IN,bloomington,itQICbR,2uegw40,profile
Indianapolis,IN,indianapolis,Uo5RSEp,la0lRcA,codes-file
Lexington,KY,lexington,taAi5Nq,1gkEWLC,profile
Paducah,KY,paducah,YO0mODP,eh6KNht,codes-file
Annapolis,MD,annapolis,vF4AMMC,lKqHfBM,codes-file
Silver Spring,MD,silver-spring,n5yaEHG,UHdNZWU,codes-file
Portland,ME,portland-me,ANdLtb2,5S0HDOP,profile
Ann Arbor,MI,ann-arbor,IeQ9cCk,tcuYYXo,profile
St. Paul,MN,st-paul,nKPWa5O,xrlH4jN,profile
Kansas City,MO,kansas-city,i9QpeL2,8rQgUGL,profile
St. Louis,MO,st-louis,eTDBF97,xIs5uC4,profile
Bozeman,MT,bozeman,mygnAoX,UHOPsDU,profile
Missoula,MT,missoula,GNERSCG,P0l8AWJ,codes-file
Whitefish,MT,whitefish,UVgr2cM,Q6EMHQi,codes-file
Asheville,NC,asheville,FOuEXma,oQkoG60,profile
Beaufort,NC,beaufort,ZZgwxvi,P9uCYVd,codes-file
Raleigh,NC,raleigh,uBa19iT,kU2Cctg,codes-file
Wilmington,NC,wilmington-nc,AMxHIfz,UdntQyR,codes-file
Nashua,NH,nashua,tv9F543,iTvfwoP,codes-file
Rio Rancho,NM,rio-rancho,QihSVT8,kJQ2wDu,codes-file
Santa Fe,NM,santa-fe,WNj03mT,K8dLjNg,profile
Las Vegas,NV,las-vegas,eZVbY24,se8gZkp,codes-file
Saratoga Springs,NY,saratoga-springs,sl8dEUv,Gx2IoHs,profile
Columbus,OH,columbus,Y6rhsep,Ynr2wEs,profile
Bend,OR,bend,jkBLWmX,0eJKMG6,profile
Eugene,OR,eugene,lpcA4dU,vfnr3wb,codes-file
Philadelphia,PA,philadelphia,uepPDUd,wtbAaHe,profile
Pittsburgh,PA,pittsburgh,3CTAm5P,8gExrBX,profile
Charleston,SC,charleston,L62eBHc,znrY1rF,profile
Greenville,SC,greenville,AduSjsM,NiHUSwi,profile
Hilton Head,SC,hilton-head,nOKQWcy,A6BjmfY,codes-file
Sioux Falls,SD,sioux-falls,VCFua9O,x6F6Ko7,codes-file
Chattanooga,TN,chattanooga,5n5rg29,ue494yy,profile
Johnson City,TN,johnson-city,g4LtxDT,OrWn8HL,codes-file
Knoxville,TN,knoxville,li0IQHG,7yEisGo,profile
Memphis,TN,memphis,bUHIJSM,TbxTUJx,profile
Nashville,TN,nashville,sI5ApoO,39Puqsn,profile
Corpus Christi,TX,corpus-christi,BbI5ZLe,GRmw7GI,codes-file
Fort Worth,TX,fort-worth,BSb2aOS,ciU6O7S,profile
Georgetown,TX,georgetown,WZmeAbX,Q1illZU,codes-file
San Antonio,TX,san-antonio,iydlIgP,c3GNB5N,profile
Frisco,TX,frisco,vtqMm4b,jUGTrEA,codes-file
Park City,UT,park-city,j0TnxQp,u2APErC,codes-file
St. George,UT,st-george,VfaRs5E,IQTKf5Z,profile
Alexandria,VA,alexandria,Yqz4jAj,LZlVI2F,profile
Charlottesville,VA,charlottesville,ze687dk,3SaYwoh,profile
Roanoke,VA,roanoke,MNvajpA,MQ72k48,profile
Virginia Beach,VA,virginia-beach,eveWLyW,mFcBRza,codes-file
Spokane,WA,spokane,eVZ7RGr,B4pMUyy,codes-file
Madison,WI,madison,KEBaKDv,mSzGaPa,profile
Casper,WY,casper,6IpJUiE,IzoiqjQ,profile
Jackson Hole,WY,jackson-hole,dlGD3xE,9reuiuf,codes-file
Iowa City,IA,iowa-city,mbhbk4Y,rvVq5w4,codes-file
Eureka Springs,AR,eureka-springs,ZveTqXE,7BVF6Ui,codes-file
Miami,FL,miami,wnnRYZQ,AfgL1UN,profile
La Crosse,WI,la-crosse,4P8Cyrt,pEnuo64,codes-file
Pinehurst,NC,pinehurst,NbHJWKw,yNFugh8,codes-file
Bentonville,AR,bentonville,MDZHXK7,HciOuBz,profile
Boulder,CO,boulder,hpMVyuD,kgUFHvs,profile
Salt Lake City,UT,salt-lake-city,2skhBdf,YgkRNvp,profile
New Orleans,LA,new-orleans,1swzxsv,1t5SdOd,profile
Tulsa,OK,tulsa,TtKUzzx,W5AR3HO,profile
Burlington,VT,burlington,Gy4FiIj,xedaytz,profile
Traverse City,MI,traverse-city,Sw4lz6S,N7QYB0q,codes-file
Provincetown,MA,provincetown,GFhpfSE,pNT8pHF,codes-file
